query_id,doc_id,question,gold_answer_original,revised_gold_answer,evidence_page,evidence_anchor,evidence_text,status,evidence_correction,rationale
Q037,DOC08_PEND,"Bagaimana perubahan jumlah sekolah SD, SMP, SMA, dan SMK pada tahun ajaran 2024/2025?","Pada tahun ajaran 2024/2025, jumlah sekolah pada jenjang SD, SMP, SMA, dan SMK mengalami peningkatan dibandingkan tahun ajaran sebelumnya.","Pada tahun ajaran 2024/2025, jumlah sekolah pada jenjang SD, SMP, SMA, dan SMK mengalami peningkatan dibandingkan tahun ajaran sebelumnya.",PDF page 9,Ringkasan,"memperhatikan kecukupan antara ruang kelas yang tersedia dengan jumlah  peserta didik. Pada tahun ajaran 2024/2025 terlihat bahwa rasio peserta didik per  rombongan belajar (rombel) pada jenjang SD, SMP, SMA, dan SMK masih berada  https://www.bps.go.id",VALID,,Semua angka (2/2) dan istilah kunci (8/8) ditemukan di halaman PDF page 9. Gold answer konsisten dengan teks PDF.
Q038,DOC08_PEND,Berapa persentase ruang kelas SD dalam kondisi baik pada tahun ajaran 2024/2025?,"Pada tahun ajaran 2024/2025, ruang kelas SD dalam kondisi baik sebesar 39,68 persen.","Pada tahun ajaran 2024/2025, ruang kelas SD dalam kondisi baik sebesar 39,68 persen.",PDF page 9,Ringkasan,"memperhatikan kecukupan antara ruang kelas yang tersedia dengan jumlah  peserta didik. Pada tahun ajaran 2024/2025 terlihat bahwa rasio peserta didik per  rombongan belajar (rombel) pada jenjang SD, SMP, SMA, dan SMK masih berada  https://www.bps.go.id",VALID,,Semua angka (3/3) dan istilah kunci (4/4) ditemukan di halaman PDF page 9. Gold answer konsisten dengan teks PDF.
Q039,DOC08_PEND,Berapa persentase anak usia 0–6 tahun yang pernah atau sedang mengikuti pendidikan prasekolah pada 2025?,"Berdasarkan Susenas Maret 2025, sebesar 34,15 persen anak usia 0–6 tahun pernah atau sedang mengikuti pendidikan prasekolah.","Berdasarkan Susenas Maret 2025, sebesar 34,15 persen anak usia 0–6 tahun pernah atau sedang mengikuti pendidikan prasekolah.",PDF page 10,Ringkasan,"paling fundamental dalam menyiapkan sumber daya manusia yang berkualitas.  Namun, hasil pendataan Susenas Maret 2025 menunjukkan hanya sebesar 34,15  https://www.bps.go.id",VALID,,Semua angka (4/4) dan istilah kunci (9/9) ditemukan di halaman PDF page 10. Gold answer konsisten dengan teks PDF.
Q040,DOC08_PEND,Bagaimana perkembangan APS dan APK tahun 2025 dibandingkan tahun 2024?,APS 2025 pada seluruh kelompok umur dan APK 2025 pada seluruh jenjang pendidikan mengalami peningkatan dibandingkan angka tahun 2024.,APS 2025 pada seluruh kelompok umur dan APK 2025 pada seluruh jenjang pendidikan mengalami peningkatan dibandingkan angka tahun 2024.,PDF page 11,Ringkasan,persen anak usia 0–6 tahun yang sedang/pernah mengikuti pendidikan  prasekolah pada tahun 2025. APK PAUD 2025 juga menunjukkan hanya sekitar  36 dari 100 anak usia 3–6 tahun yang berpartisipasi pada pendidikan prasekolah.  Angka Partisipasi Sekolah (APS) 2025 pada seluruh kelompok umur dan,VALID,"Heading 'Ringkasan' ditemukan di halaman 9, bukan halaman 11 — kemungkinan halaman konten dimulai setelah halaman judul bab.",Semua angka (3/3) dan istilah kunci (7/7) ditemukan di halaman PDF page 11. Gold answer konsisten dengan teks PDF.
Q041,DOC09_IMPOR,Berapa total nilai impor Indonesia pada Agustus 2025?,"Total nilai impor Indonesia pada Agustus 2025 mencapai US$19.475,2 juta, terdiri atas migas US$2.732,5 juta dan nonmigas US$16.742,7 juta.","Total nilai impor Indonesia pada Agustus 2025 mencapai US$19.475,2 juta, terdiri atas migas US$2.732,5 juta dan nonmigas US$16.742,7 juta.",PDF page 21,Bab 1 Ringkasan / Tabel 1.1,"Total nilai impor Indonesia Agustus 2025 mencapai US$19.475,2 juta, yang terdiri dari migas  senilai US$2.732,5 juta dan nonmigas US$16.742,7 juta atau masing-masing memberikan peranan 14,03  dan 85,97 persen. Apabila dilihat perkembangannya, nilai impor Agustus 2025 turun 5,35 persen atau  senilai US$1.100,2 juta dibandingkan Juli 2025, terutama dipicu oleh penurunan impor nonmigas 7,30",VALID,,Semua angka (4/4) dan istilah kunci (2/2) ditemukan di halaman PDF page 21. Gold answer konsisten dengan teks PDF.
Q042,DOC09_IMPOR,Bagaimana perubahan nilai impor Agustus 2025 dibandingkan Juli 2025?,"Nilai impor Agustus 2025 turun 5,35 persen atau US$1.100,2 juta dibandingkan Juli 2025, terutama dipicu penurunan impor nonmigas sebesar 7,30 persen.","Nilai impor Agustus 2025 turun 5,35 persen atau US$1.100,2 juta dibandingkan Juli 2025, terutama dipicu penurunan impor nonmigas sebesar 7,30 persen.",PDF page 21,Bab 1 Ringkasan,"dan 85,97 persen. Apabila dilihat perkembangannya, nilai impor Agustus 2025 turun 5,35 persen atau  senilai US$1.100,2 juta dibandingkan Juli 2025, terutama dipicu oleh penurunan impor nonmigas 7,30  persen (US$1.319,2 juta). Sementara impor migas naik 8,71 persen (US$219,0 juta), terutama karena  bertambahnya impor minyak mentah 29,02 persen (US$228,1 juta).",VALID,,Semua angka (5/5) dan istilah kunci (7/8) ditemukan di halaman PDF page 21. Gold answer konsisten dengan teks PDF.
Q043,DOC09_IMPOR,Berapa volume impor Indonesia pada Agustus 2025?,"Volume impor Indonesia pada Agustus 2025 tercatat 19.944,3 ribu ton, terdiri dari migas 4.573,5 ribu ton dan nonmigas 15.370,8 ribu ton.","Volume impor Indonesia pada Agustus 2025 tercatat 19.944,3 ribu ton, terdiri dari migas 4.573,5 ribu ton dan nonmigas 15.370,8 ribu ton.",PDF page 21,Bab 1 Ringkasan / Tabel 1.2,"Pada Agustus 2025, volume impor tercatat 19.944,3 ribu ton, terdiri dari volume impor migas  4.573,5 ribu ton (22,93 persen) dan nonmigas 15.370,8 ribu ton (77,07 persen). Dari perkembangannya,  volume impor tersebut naik 34,9 ribu ton atau 0,18 persen dibanding Juli 2025",VALID,,Semua angka (4/4) dan istilah kunci (4/4) ditemukan di halaman PDF page 21. Gold answer konsisten dengan teks PDF.
Q044,DOC09_IMPOR,Komoditas HS 2 digit apa yang memiliki porsi terbesar dalam impor Agustus 2025?,"Porsi terbesar impor Agustus 2025 berasal dari bahan bakar mineral HS 27 dengan nilai US$3.020,9 juta atau 15,51 persen dari total impor Indonesia.","Porsi terbesar impor Agustus 2025 berasal dari bahan bakar mineral HS 27 dengan nilai US$3.020,9 juta atau 15,51 persen dari total impor Indonesia.",PDF page 24,Bab 1 Ringkasan / Tabel 1.5,"Menurut golongan barang Harmonized System (HS) 2 digit, porsi terbesar komoditi impor  selama Agustus 2025 adalah bahan bakar mineral (HS 27) senilai US$3.020,9 juta atau berperan 15,51  persen terhadap total impor Indonesia. Nilai impor komoditi ini turun US$51,4 juta (1,67 persen)  dibandingkan bulan yang sama tahun sebelumnya.",VALID,,Semua angka (4/4) dan istilah kunci (5/5) ditemukan di halaman PDF page 24. Gold answer konsisten dengan teks PDF.
Q045,DOC09_IMPOR,Negara asal impor terbesar Indonesia pada Agustus 2025 adalah negara apa dan berapa kontribusinya?,"Tiongkok menjadi negara asal impor terbesar Indonesia pada Agustus 2025 dengan kontribusi 36,74 persen atau US$7.155,3 juta.","Tiongkok menjadi negara asal impor terbesar Indonesia pada Agustus 2025 dengan kontribusi 36,74 persen atau US$7.155,3 juta.",PDF page 25,Bab 1 Ringkasan / Gambar 4,"Indonesia berasal dari lima negara asal utama. Tiongkok menempati posisi pertama, yaitu mencapai  36,74 persen (US$7.155,3 juta) dari total impor Indonesia. Negara asal utama impor berikutnya, yaitu  Singapura 6,12 persen (US$1.192,3 juta), diikuti oleh Jepang 5,89 persen (US$1.146,3 juta), Amerika  Serikat 5,14 persen (US$1.000,1 juta), dan Malaysia 5,33 persen (US$1.038,6 juta).",VALID,,Semua angka (3/3) dan istilah kunci (7/7) ditemukan di halaman PDF page 25. Gold answer konsisten dengan teks PDF.
Q046,DOC10_MODA,"Menurut pengantar publikasi, apa yang dimaksud dengan moda transportasi dalam perdagangan barang internasional?","Moda transportasi dalam perdagangan barang internasional merujuk pada sarana transportasi yang masuk atau keluar wilayah ekonomi suatu negara, yaitu proses perpindahan barang dari batas negara eksportir menuju batas negara importir.","Moda transportasi dalam perdagangan barang internasional merujuk pada sarana transportasi yang masuk atau keluar wilayah ekonomi suatu negara, yaitu proses perpindahan barang dari batas negara eksportir menuju batas negara importir.",PDF page 7,Kata Pengantar,"Kata  Pengantar  Salah satu aspek penting dalam kegiatan Perdagangan Barang  Internasional (ekspor dan impor) adalah penggunaan moda transportasi.  Sesuai dengan rekomendasi International Merchandise Trade Statistics  (IMTS) 2010, moda transportasi yang dicatat dalam perdagangan barang  internasional merupakan sarana transportasi yang masuk atau keluar  wilayah ekonomi suatu negara. Transportasi y",VALID,,Semua angka (0/0) dan istilah kunci (14/15) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q047,DOC10_MODA,Apa saja kelompok umum moda transportasi yang disebut dalam publikasi?,"Moda transportasi secara umum diklasifikasikan menjadi transportasi darat, laut, udara, dan lainnya.","Moda transportasi secara umum diklasifikasikan menjadi transportasi darat, laut, udara, dan lainnya.",PDF page 7,Kata Pengantar,"Kata  Pengantar  Salah satu aspek penting dalam kegiatan Perdagangan Barang  Internasional (ekspor dan impor) adalah penggunaan moda transportasi.  Sesuai dengan rekomendasi International Merchandise Trade Statistics  (IMTS) 2010, moda transportasi yang dicatat dalam perdagangan barang  internasional merupakan sarana transportasi yang masuk atau keluar  wilayah ekonomi suatu negara. Transportasi y",VALID,,Semua angka (0/0) dan istilah kunci (4/4) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q048,DOC10_MODA,Informasi apa saja yang disajikan dalam publikasi perdagangan luar negeri menurut moda transportasi?,"Publikasi ini menyajikan data ekspor dan impor Indonesia menurut moda transportasi, mencakup berat, nilai, negara asal atau tujuan, pelabuhan muat atau bongkar, serta komoditas ekspor-impor dalam kode HS 2 digit.","Publikasi ini menyajikan data ekspor dan impor Indonesia menurut moda transportasi, mencakup berat, nilai, negara asal atau tujuan, pelabuhan muat atau bongkar, serta komoditas ekspor-impor dalam kode HS 2 digit.",PDF page 7,Kata Pengantar,"rangka peningkatan kualitas publikasi di masa datang.  Jakarta, Oktober 2025  Kepala Badan Pusat Statistik  Amalia Adininggar Widyasanti",VALID,,Semua angka (1/1) dan istilah kunci (8/8) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q049,DOC10_MODA,Apa tujuan penyusunan publikasi Statistik Perdagangan Luar Negeri Menurut Moda Transportasi 2023 dan 2024?,Publikasi ini bertujuan memberikan informasi atau gambaran mengenai ekspor dan impor Indonesia berdasarkan moda transportasi tahun 2023 dan 2024.,Publikasi ini bertujuan memberikan informasi atau gambaran mengenai ekspor dan impor Indonesia berdasarkan moda transportasi tahun 2023 dan 2024.,PDF page 17,Bab I Pendahuluan / Tujuan,2024 bertujuan untuk memberikan informasi atau gambaran mengenai ekspor dan impor Indonesia  berdasarkan moda transportasi tahun 2023 dan 2024.   https://www.bps.go.id,VALID,,Semua angka (2/2) dan istilah kunci (8/8) ditemukan di halaman PDF page 17. Gold answer konsisten dengan teks PDF.
Q050,DOC10_MODA,Apa sumber data utama publikasi perdagangan luar negeri menurut moda transportasi?,Sumber data utama berasal dari dokumen Pemberitahuan Ekspor Barang (PEB) dan Pemberitahuan Impor Barang (PIB) yang diperoleh dari Direktorat Jenderal Bea dan Cukai.,Sumber data utama berasal dari dokumen Pemberitahuan Ekspor Barang (PEB) dan Pemberitahuan Impor Barang (PIB) yang diperoleh dari Direktorat Jenderal Bea dan Cukai.,PDF page 21,Bab II Metodologi / Data dan Sumber Data,Metodologi  7    2.1  Data dan Sumber Data  Data yang digunakan dalam publikasi ini adalah data ekspor dan impor Indonesia tahun 2023  dan 2024. Sumber data utama berasal dari dokumen Pemberitahuan Ekspor Barang (PEB) dan  Pemberitahuan Impor Barang (PIB) yang diperoleh dari Direktorat Jenderal Bea dan Cukai. Dokumen  PEB dan PIB tersebut dikirim ke Badan Pusat Statistik (BPS) dalam bentuk softc,VALID,,Semua angka (0/0) dan istilah kunci (9/9) ditemukan di halaman PDF page 21. Gold answer konsisten dengan teks PDF.
